nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd,detail,success,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe
바나프레소 테헤란로점,커피숍,2019-05-23,서울 강남구 테헤란로 208,1.0,98.4,37.5011301173784,127.039098610917,T,3120197.0,11680650,banapresso,1,985131.5,882135.0,752222.8125,0,1,0,0,223.59801847356005,24.7661017374611,8,1,1,6,6,27
바나프레소 중계은행사거리점,커피숍,2023-03-24,서울 노원구 덕릉로76길 18,1.0,28.7,37.654290852548,127.075304285056,A,,11350621,banapresso,0,418872.5,654206.75,676400.0625,0,0,0,0,750.9223447852612,116.27491758675818,18,1,1,0,1,2
banapresso 위례중앙점,커피숍,2023-05-01,서울 송파구 위례광장로 120,1.0,40.1,37.4750100992712,127.141592563317,A,,11710647,banapresso,0,353384.75,554050.25,582902.9375,0,0,0,0,1379.887436366242,72.95520641679796,23,1,1,0,1,5
바나프레소 신논현역점,커피숍,2019-08-06,서울 서초구 사평대로 364,1.0,107.24,37.5037327208746,127.023195609704,T,3120187.0,11650531,banapresso,1,589152.0,788268.0,560948.125,0,1,0,0,765.9793950514224,57.03153836600474,18,1,1,6,8,36
바나프레소 선릉공원점,커피숍,2021-07-23,서울 강남구 테헤란로63길 20,1.0,97.28,37.5065217786409,127.050397908819,T,3120210.0,11680590,banapresso,1,951358.25,983513.0,833761.125,1,2,0,0,258.61025715107274,139.65317709885576,16,1,1,1,10,25
바나프레소 고덕비즈밸리점,커피숍,2025-03-25,서울 강동구 고덕비즈밸리로2가길 50,1.0,55.84,37.5675893491524,127.159990226335,A,,11740560,banapresso,0,254504.75,342827.25,380821.5,0,0,0,0,1319.3298719612387,66.84784879111102,6,1,1,3,6,15
바나프레소 서울시청역점,커피숍,2025-05-14,서울 중구 서소문로 89-20,-1.0,36.68,37.5632510909133,126.972031493823,A,,11140520,banapresso,0,626221.5,482929.25,382338.6875,0,0,0,0,298.21163421249594,201.79568551191088,20,1,1,4,2,21
바나프레소 충무로점,커피숍,2022-09-19,서울 중구 필동로 15,1.0,148.43,37.5603388092001,126.996256659638,T,3120032.0,11140570,banapresso,1,357098.25,362848.5,287171.875,0,0,0,0,209.26549037683642,165.18190265234477,21,1,1,4,5,31
바나프레소 홍대입구역사거리점,커피숍,2022-11-07,서울 마포구 양화로 129,1.0,33.0,37.5550607718839,126.920693732271,T,3120102.0,11440660,banapresso,1,409679.75,552486.25,389756.625,0,1,0,0,332.2994692284546,58.952810600404376,36,1,1,4,4,28
바나프레소 양재이안점,커피숍,2023-01-31,서울 서초구 강남대로34길 7,1.0,48.33,37.4830322462208,127.036464509789,T,3120179.0,11650651,banapresso,1,440356.25,473092.5,400709.25,0,1,0,0,196.92924462062618,68.32297893940165,12,1,1,6,5,20
바나프레소 문정테라타워점,커피숍,2023-05-15,서울 송파구 송파대로 167,1.0,63.75,37.4846614982049,127.120933640924,T,3120235.0,11710642,banapresso,0,82559.75,83623.25,75717.4375,0,0,0,4,214.46504982873776,53.670447414940135,20,1,1,2,10,38
바나프레소 가산파트너스타워점,커피숍,2023-06-07,서울 금천구 가산디지털1로 83,1.0,55.3,37.4732207718169,126.884298623646,T,3120131.0,11545510,banapresso,0,231248.25,205386.0,190148.375,0,0,0,6,943.8158268276277,99.26219299438904,28,1,1,0,10,11
바나프레소 장한평역점,커피숍,2023-11-07,서울 성동구 천호대로 380-7,1.0,34.28,37.5615608750218,127.061221939829,T,3120066.0,11200790,banapresso,0,214335.5,261541.5,247733.0,0,0,0,0,282.06255604553843,45.30151715334812,11,1,1,0,2,5
바나프레소 내방역점,커피숍,2024-01-09,서울 서초구 서초대로 108,1.0,82.0,37.4875261941992,126.994201615542,T,3120164.0,11650600,banapresso,0,186901.0,260164.75,213289.6875,0,2,0,0,89.23299648540281,44.68626478808746,12,1,1,0,4,25
바나프레소 도산논현점,커피숍,2024-01-19,서울 강남구 도산대로50길 9,1.0,66.1,37.521746562403,127.037636286238,T,3120200.0,11680531,banapresso,0,256710.5,264379.75,183071.0625,0,1,0,0,601.0693557894975,98.85604838987348,15,1,1,2,4,10
바나프레소 돈암아리랑점,커피숍,2024-01-26,서울 성북구 아리랑로 89,1.0,34.2,37.6007699096006,127.013617460956,T,3110299.0,11290590,banapresso,0,211917.0,347670.5,339909.5,0,0,1,0,930.1259901758397,20.90510811266746,24,1,1,0,2,4
바나프레소 성수낙낙점,커피숍,2024-02-19,서울 성동구 아차산로17길 48,1.0,58.21,37.5463937599992,127.065889477465,T,3110137.0,11200690,banapresso,0,274053.75,267444.5,299808.4375,0,2,0,4,724.7187233311649,48.349331890366294,16,1,1,2,4,16
바나프레소 건대점,커피숍,2024-02-29,서울 광진구 능동로13길 55,1.0,38.0,37.5441736979491,127.069504903952,T,3130078.0,11215710,banapresso,0,20530.5,42436.75,37151.25,0,0,0,0,394.6535934268947,244.55054545710212,2,1,1,2,1,34
바나프레소 길음역점,커피숍,2024-05-02,서울 성북구 길음로 11,1.0,36.06,37.603785604914,127.023437392228,T,3110307.0,11290660,banapresso,0,82460.25,131564.5,93343.625,0,0,0,0,149.1119707909381,69.864585365593,41,1,1,2,7,10
바나프레소 가산어반워크점,커피숍,2024-05-29,서울 금천구 가산디지털2로 135,1.0,36.3,37.4800207661549,126.878015828177,T,3120131.0,11545510,banapresso,0,231248.25,205386.0,190148.375,0,0,0,11,437.5105895609605,158.28215093749571,5,0,2,2,11,30
바나프레소 서초남부점,커피숍,2024-07-01,서울 서초구 반포대로22길 7,1.0,23.42,37.4887974265414,127.009870797114,T,3120172.0,11650530,banapresso,0,323932.0,341221.5,335505.3125,0,0,0,0,392.4348515329267,48.570817599011974,10,1,1,4,4,16
바나프레소 충무로역점,커피숍,2024-07-01,서울 중구 수표로6길 45,1.0,83.4,37.5627710734302,126.992859420269,T,3120032.0,11140570,banapresso,0,357098.25,362848.5,287171.875,0,0,0,1,203.15864690089415,67.71173223889363,39,1,1,6,6,46
바나프레소 청담디아트점,커피숍,2024-07-15,서울 강남구 압구정로79길 32,1.0,36.5,37.5251639033122,127.049761547072,T,3120208.0,11680565,banapresso,0,237010.25,243178.25,218697.75,0,0,0,0,726.13032787625,71.81968069771479,11,1,1,2,2,20
바나프레소 대치삼성점,커피숍,2024-08-06,서울 강남구 테헤란로 514,1.0,61.15,37.5074267999126,127.059755460388,T,3120222.0,11680610,banapresso,0,235145.0,189896.0,154353.0,0,1,1,0,333.319123829942,83.72675970347541,17,1,1,4,4,23
바나프레소 목동점,커피숍,2024-08-12,서울 양천구 목동서로 213,1.0,29.6,37.5280169945095,126.870615708032,T,3120114.0,11470510,banapresso,0,172442.5,245990.25,202420.875,0,0,1,0,555.9874699708197,64.428235423763,42,1,1,2,2,3
바나프레소 대치은마사거리점,커피숍,2024-08-28,서울 강남구 삼성로 238,1.0,32.8,37.4986324139076,127.06139805987,T,3120219.0,11680610,banapresso,0,174722.0,320596.5,178838.75,0,0,0,0,486.744276724489,60.33747797486278,14,1,1,1,5,22
바나프레소 강남역아라타워점,커피숍,2024-10-02,서울 서초구 서초대로77길 3,1.0,18.2,37.4980609129976,127.026504807476,T,3120189.0,11650531,banapresso,0,1436528.0,1719818.75,1173626.5,2,1,2,0,159.48519138320174,32.01288295377784,38,1,1,14,5,43
바나프레소 답십리역점,커피숍,2023-04-13,서울 동대문구 천호대로 289,1.0,35.1,37.5668988918932,127.053284511547,T,3110130.0,11230600,banapresso,0,55902.75,78572.5,91876.625,4,3,0,0,51.19856678605635,16.658874760393278,27,1,1,2,6,9
바나프레소 여의도파크원점,커피숍,2021-03-18,서울 영등포구 여의대로 108,-1.0,59.16,37.5251913154781,126.929112756574,T,3120149.0,11560540,banapresso,1,364928.5,317197.25,246954.3125,0,0,0,0,392.1448453957877,28.172926166402995,27,1,1,3,1,24
바나프레소 서울성균관대점,커피숍,2025-01-06,서울 종로구 성균관로 3,1.0,10.0,37.5833322525816,126.998325202246,T,3120012.0,11110650,banapresso,0,534215.25,953144.25,544084.4375,0,0,0,0,364.0368015306777,47.07533236979564,14,1,1,4,4,23
바나프레소 동여의도점,커피숍,2025-02-10,서울 영등포구 국제금융로8길 11,1.0,26.43,37.5210989114185,126.929781329983,T,3120149.0,11560540,banapresso,0,364928.5,317197.25,246954.3125,1,0,0,0,474.3769852704061,122.98653173893003,45,1,1,9,6,43
바나프레소 동대문구청점,커피숍,2024-02-21,서울 동대문구 고산자로28길 21,1.0,66.0,37.5752303080303,127.039521192634,T,3110192.0,11230536,banapresso,0,44290.5,46188.0,37205.25,0,2,0,0,194.6589165667389,109.1210812181298,12,1,1,0,4,5
바나프레소 수서역점,커피숍,2025-06-02,서울 강남구 광평로51길 8,1.0,23.76,37.4883751535989,127.102475755025,T,3120224.0,11680750,banapresso,0,44491.0,42159.0,39788.625,0,0,0,0,122.40858589602698,68.13228192071446,21,1,1,4,4,12
바나프레소 양천향교역점,커피숍,2025-05-23,서울 강서구 마곡중앙8로5길 63,1.0,32.71,37.5666164557397,126.838422664924,T,3110648.0,11500603,banapresso,0,21893.0,18320.25,22293.0,0,0,0,2,849.3314952549995,209.411896336168,5,1,1,2,8,19
바나프레소 압구정CGV점,커피숍,2025-07-08,서울 강남구 논현로 854,1.0,29.32,37.5253215967063,127.028865132152,T,3120188.0,11680545,banapresso,0,409384.0,460045.5,322143.0625,1,1,0,0,127.90977966776926,75.30083307960312,12,1,2,3,4,36
바나프레소 왕십리점,커피숍,2025-07-11,서울 성동구 왕십리로 315,1.0,59.0,37.5617210789329,127.034237697854,T,3130066.0,11200560,banapresso,0,100799.75,162383.25,140498.9375,1,0,0,0,220.219315595614,117.78643396688386,18,1,1,2,4,11
바나프레소 가산하이엔드 10차,커피숍,2025-08-01,서울 금천구 가산디지털1로 30,1.0,85.75,37.46880404424,126.887495831099,T,3120131.0,11545510,banapresso,0,231248.25,205386.0,190148.375,0,0,0,9,1487.5838878133193,57.79780100568211,24,1,1,2,7,16
바나프레소 가산안양천점,커피숍,2024-04-15,서울 금천구 가산디지털2로 127-143,1.0,46.45,37.4785697268456,126.876833912174,T,3120131.0,11545510,banapresso,0,231248.25,205386.0,190148.375,0,0,0,6,607.0187613171743,233.21769492156068,6,0,2,1,7,15
바나프레소 이화여대점,커피숍,2025-09-08,서울 서대문구 이화여대길 42,1.0,33.0,37.5588780112567,126.945856403546,T,3130179.0,11410585,banapresso,0,143965.75,175944.75,183620.25,2,0,0,0,231.44737607555157,219.91665811024535,16,1,1,3,5,26
바나프레소 상암사보이시티점,커피숍,2025-09-10,서울 마포구 월드컵북로54길 17,1.0,52.13,37.581324224744,126.888548408154,T,3120098.0,11440740,banapresso,0,104816.25,94691.5,75248.5625,0,0,0,0,1266.705873490297,58.432346674107535,29,1,1,4,6,25
바나프레소 양평역점,커피숍,2015-08-05,서울 영등포구 양산로 43,1.0,59.4,37.5257610278541,126.887942282336,T,3120135.0,11560610,banapresso,1,82196.0,68874.0,71096.875,0,0,0,5,98.90783571368003,50.168375341500756,24,1,1,1,2,15
바나프레소 군자능동점,커피숍,2025-09-11,서울 광진구 천호대로112길 7,1.0,24.0,37.555651258038,127.081594698592,T,3120055.0,11215780,banapresso,0,300265.75,476211.75,419171.5,1,2,1,0,296.4056995356691,68.86358639073664,10,1,1,2,3,12
바나프레소 명동중앙우체국점,커피숍,2021-10-29,서울 중구 명동8나길 51,1.0,193.85,37.5610796592227,126.982076857446,T,3120028.0,11140550,banapresso,1,449272.25,410975.75,273562.8125,0,1,0,0,341.656695424639,57.12760886342663,16,1,1,5,4,62
바나프레소 서울대입구역점,커피숍,2023-09-11,서울 관악구 남부순환로 1832,1.0,33.0,37.4807059211487,126.953497637127,T,3120159.0,11620585,banapresso,0,428149.75,704345.75,588800.625,0,2,1,0,90.1485570479596,92.97314935527552,23,1,1,7,9,26
바나프레소 고려대이공대점,커피숍,2025-10-17,서울 성북구 고려대로24길 61,1.0,25.99,37.5834937035041,127.029607290684,T,3110313.0,11290600,banapresso,0,286092.25,379041.25,293875.3125,1,2,0,0,311.81756404164526,21.97050980001533,6,1,1,2,3,9
바나프레소 신림역점,커피숍,2025-10-31,서울 관악구 남부순환로 1605,1.0,56.0,37.4843862961147,126.929071163537,T,3120157.0,11620695,banapresso,0,529906.5,884856.25,782700.625,1,3,0,0,67.26926667683314,52.664156181008664,20,1,1,4,10,34
바나프레소 군자역점,커피숍,2025-10-16,서울 광진구 천호대로 538,1.0,32.16,37.5573824118208,127.077892440485,T,3120055.0,11215730,banapresso,0,300265.75,476211.75,419171.5,2,2,0,0,99.1765986109335,110.43630028405782,38,1,1,3,4,18
바나프레소 강남세브란스점,커피숍,2025-11-17,서울 강남구 언주로 313,1.0,39.75,37.4956299175852,127.045648565273,T,3120206.0,11680650,banapresso,0,196715.25,188168.0,198656.125,0,1,1,0,967.6871031807857,46.305531034718435,16,1,1,0,1,11
바나프레소 강남면허시험장점,커피숍,2025-11-20,서울 강남구 테헤란로104길 19,-1.0,118.0,37.5079233067608,127.065436042484,T,3120222.0,11680610,banapresso,0,235145.0,189896.0,154353.0,0,1,0,0,233.1102089995994,117.2460057688589,25,1,1,1,0,14
바나프레소 을지로3가역점,커피숍,2025-04-30,서울 중구 을지로 108,1.0,44.43,37.5660532816543,126.989956138386,T,3120031.0,11140605,banapresso,0,450343.75,441640.25,305304.6875,0,0,0,0,39.024673709123896,44.5089912883306,54,1,1,6,5,38
바나프레소 그랑서울점,커피숍,2025-12-10,서울 종로구 종로 33,-1.0,25.97,37.5709617749066,126.981437983842,T,3120006.0,11110615,banapresso,0,601535.0,617491.0,403711.1875,2,0,0,0,179.2406625383271,78.62003013734046,58,1,1,7,7,57
바나프레소 가산it캐슬점,커피숍,2025-12-10,서울 금천구 가산디지털1로 137,1.0,71.31,37.4776586934814,126.881930383681,T,3120131.0,11545510,banapresso,0,231248.25,205386.0,190148.375,0,0,0,13,441.2855036817165,113.36778417898265,28,1,1,4,7,39
바나프레소 마포역점,커피숍,2015-11-17,서울 마포구 마포대로 34,1.0,33.0,37.539260435206,126.946151540413,T,3120106.0,11440585,banapresso,1,117808.75,141110.0,142316.5,0,1,0,0,41.33068314082808,61.846039389503765,31,1,1,2,4,14
바나프레소 신대방삼거리역점,커피숍,2026-01-05,서울 동작구 상도로 58,1.0,50.83,37.4995662032729,126.926868762789,T,3120152.0,11590660,banapresso,0,94539.75,152267.75,122590.5,0,0,1,0,120.71117460047145,30.6223866579857,26,1,1,1,6,17
바나프레소 용산센트럴파크점,커피숍,2026-01-06,서울 용산구 서빙고로 17,1.0,40.53,37.5269056148241,126.966566172294,T,3120041.0,11170625,banapresso,0,343655.0,399343.25,338297.4375,0,0,0,0,334.61386505790654,53.466815132482424,36,1,1,4,9,30
바나프레소 강남역 신분당선점,커피숍,2026-01-08,서울 강남구 강남대로 302-2,-1.0,32.38,37.4903503986844,127.031507463771,T,3120192.0,11680640,banapresso,0,374559.75,381841.25,370438.875,0,4,0,0,762.0474693128311,93.90027397689374,17,1,1,6,5,31
바나프레소 동부이촌점,커피숍,2026-01-12,서울 용산구 이촌로 248,1.0,45.75,37.5193865878083,126.975025954742,T,3110078.0,11170630,banapresso,0,14313.5,20469.25,19000.375,0,0,0,0,368.02266464184834,68.81343962461608,3,1,1,1,1,6
바나프레소 동소문점,커피숍,2023-07-21,서울 성북구 아리랑로 15,1.0,60.0,37.5942413982281,127.015930395304,T,3120072.0,11290575,banapresso,0,353409.25,580481.75,420896.0625,1,1,1,0,176.13087570237397,58.61084877947444,18,1,1,4,5,26
바나프레소 압구정SLP점,커피숍,2026-02-24,서울 강남구 논현로163길 23,1.0,131.66,37.5240370177398,127.026247469744,T,3120188.0,11680510,banapresso,0,409384.0,460045.5,322143.0625,0,0,1,0,331.12740422906654,173.2422802643717,6,1,2,4,3,33
